Product ID,Product Name,Category,Sub-Category,Sales Region,Sale Date,Quantity Sold,Unit Price (INR),Total Revenue (INR),Discount (%),Sales Channel,Customer Type,Season
P004,Sunflower Seeds,Oilseeds,Sunflower,West,16-10-2024,202,499.83,91747.5,9.13,Direct Sales,Farmer,Rabi
P010,Wheat Seeds,Cereals,Wheat,South,16-12-2024,265,52.97,13502.24,3.81,Direct Sales,Retailer,Rabi
P009,Chilli Seeds,Spices,Chilli,South,18-11-2024,280,96.72,25137.14,7.18,Retail,Retailer,Kharif
P007,Cotton Seeds,Fibers,Cotton,North,07-12-2024,12,374.57,4145.59,7.77,Retail,Farmer,Rabi
P009,Chilli Seeds,Spices,Chilli,West,19-11-2024,337,403.48,131132.13,3.56,Direct Sales,Distributor,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,West,01-12-2024,170,61.43,9614.96,7.93,Retail,Farmer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,South,18-12-2024,87,252.3,20613.34,6.09,Wholesale,Retailer,Kharif
P010,Wheat Seeds,Cereals,Wheat,North,14-10-2024,265,487.02,114115.12,11.58,Wholesale,Distributor,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,Central,25-10-2024,252,150.41,33404.2,11.87,E-commerce,Farmer,Rabi
P004,Sunflower Seeds,Oilseeds,Sunflower,North,05-09-2024,347,212.66,65631.51,11.06,Retail,Distributor,Kharif
P007,Cotton Seeds,Fibers,Cotton,Central,11-11-2024,99,349.05,33318.85,3.58,Direct Sales,Distributor,Zaid
P010,Wheat Seeds,Cereals,Wheat,North,02-10-2024,305,213.76,56571.26,13.23,Retail,Retailer,Kharif
P003,Groundnut Seeds,Oilseeds,Groundnut,North,06-09-2024,234,246.8,46940.18,18.72,Direct Sales,Farmer,Kharif
P007,Cotton Seeds,Fibers,Cotton,South,16-11-2024,307,244.11,72116.47,3.77,Retail,Distributor,Zaid
P007,Cotton Seeds,Fibers,Cotton,South,11-10-2024,421,476.91,187587.92,6.57,Retail,Farmer,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,North,11-12-2024,139,335.29,42163.82,9.53,Retail,Farmer,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,South,25-11-2024,87,107.83,7958.08,15.17,E-commerce,Retailer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,South,29-12-2024,180,195.11,33556.97,4.45,E-commerce,Distributor,Zaid
P008,Soybean Seeds,Pulses,Soybean,North,14-11-2024,128,286.32,29942.2,18.3,E-commerce,Distributor,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,East,02-11-2024,395,397.58,138591.42,11.75,E-commerce,Farmer,Kharif
P007,Cotton Seeds,Fibers,Cotton,Central,09-10-2024,316,447.91,131603.48,7.02,Direct Sales,Farmer,Kharif
P003,Groundnut Seeds,Oilseeds,Groundnut,East,22-09-2024,382,140.04,53104.76,0.73,Wholesale,Distributor,Rabi
P010,Wheat Seeds,Cereals,Wheat,South,24-10-2024,187,224.04,40311.83,3.78,Wholesale,Farmer,Zaid
P008,Soybean Seeds,Pulses,Soybean,North,16-10-2024,250,413.66,83476.59,19.28,E-commerce,Retailer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,Central,10-09-2024,352,51.02,15629.75,12.97,Direct Sales,Distributor,Kharif
P005,Tomato Seeds,Vegetables,Tomato,North,13-09-2024,2,304.9,518.03,15.05,Wholesale,Farmer,Rabi
P010,Wheat Seeds,Cereals,Wheat,West,03-11-2024,257,387.71,84406.29,15.29,E-commerce,Retailer,Kharif
P010,Wheat Seeds,Cereals,Wheat,North,15-12-2024,289,298.07,70688.31,17.94,Retail,Retailer,Rabi
P007,Cotton Seeds,Fibers,Cotton,Central,27-12-2024,69,127.93,8824.52,0.03,Direct Sales,Retailer,Kharif
P010,Wheat Seeds,Cereals,Wheat,East,07-12-2024,159,128.23,17897.09,12.22,Retail,Farmer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,East,14-12-2024,276,59.1,15541.69,4.72,Direct Sales,Retailer,Zaid
P005,Tomato Seeds,Vegetables,Tomato,Central,11-11-2024,372,102.88,34853.73,8.93,E-commerce,Distributor,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,West,07-10-2024,352,478.26,155351.09,7.72,E-commerce,Distributor,Kharif
P010,Wheat Seeds,Cereals,Wheat,Central,23-11-2024,213,308.37,52973.19,19.35,Retail,Farmer,Rabi
P009,Chilli Seeds,Spices,Chilli,North,23-11-2024,295,133.88,32128.86,18.65,E-commerce,Retailer,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,West,11-11-2024,49,419,16777.93,18.28,E-commerce,Retailer,Zaid
P008,Soybean Seeds,Pulses,Soybean,East,14-12-2024,390,241.61,88131.35,6.47,Direct Sales,Retailer,Zaid
P007,Cotton Seeds,Fibers,Cotton,South,03-09-2024,178,314.43,50556.38,9.67,Wholesale,Retailer,Zaid
P009,Chilli Seeds,Spices,Chilli,East,07-09-2024,440,174.44,75755.8,1.3,Direct Sales,Retailer,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,East,22-09-2024,223,189.35,39083.51,7.44,Wholesale,Retailer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,North,10-10-2024,460,365.71,149519.8,11.12,Retail,Distributor,Kharif
P009,Chilli Seeds,Spices,Chilli,West,29-12-2024,146,309.15,43732.17,3.11,Wholesale,Distributor,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,North,21-11-2024,30,122.45,3339.58,9.09,Retail,Retailer,Zaid
P008,Soybean Seeds,Pulses,Soybean,South,27-10-2024,361,459.36,138052.61,16.75,E-commerce,Retailer,Rabi
P009,Chilli Seeds,Spices,Chilli,East,22-09-2024,409,260.46,96258.83,9.64,Wholesale,Retailer,Zaid
P008,Soybean Seeds,Pulses,Soybean,Central,30-09-2024,201,52.98,8905.74,16.37,E-commerce,Farmer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,West,09-12-2024,464,424.49,172362.64,12.49,E-commerce,Farmer,Rabi
P005,Tomato Seeds,Vegetables,Tomato,East,19-11-2024,453,182.16,80785.59,2.1,Wholesale,Distributor,Rabi
P007,Cotton Seeds,Fibers,Cotton,North,06-09-2024,111,309.47,28501.17,17.03,Direct Sales,Distributor,Zaid
P005,Tomato Seeds,Vegetables,Tomato,North,23-10-2024,186,491.26,81953.66,10.31,Wholesale,Farmer,Rabi
P010,Wheat Seeds,Cereals,Wheat,South,20-12-2024,371,269.17,83484.69,16.4,E-commerce,Distributor,Rabi
P010,Wheat Seeds,Cereals,Wheat,North,11-12-2024,362,171.45,60140.89,3.1,Retail,Farmer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,West,29-11-2024,395,449.91,152319.06,14.29,Direct Sales,Distributor,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,North,21-11-2024,244,494.6,104933.35,13.05,Wholesale,Distributor,Zaid
P010,Wheat Seeds,Cereals,Wheat,South,23-11-2024,235,226.79,53194.39,0.19,Retail,Retailer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,South,24-09-2024,458,52.94,20405.87,15.84,Wholesale,Distributor,Zaid
P007,Cotton Seeds,Fibers,Cotton,South,23-12-2024,185,337.37,54961.28,11.94,Direct Sales,Farmer,Zaid
P009,Chilli Seeds,Spices,Chilli,East,18-10-2024,175,396.43,65649.8,5.37,Direct Sales,Retailer,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,North,12-12-2024,189,392.17,66634,10.1,Wholesale,Distributor,Kharif
P007,Cotton Seeds,Fibers,Cotton,Central,10-09-2024,172,171.01,26931.2,8.44,E-commerce,Farmer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,West,15-09-2024,433,186.7,79709.32,1.4,Direct Sales,Retailer,Kharif
P008,Soybean Seeds,Pulses,Soybean,Central,04-11-2024,327,397.18,113292.46,12.77,Direct Sales,Retailer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,South,16-11-2024,278,309.36,81908.38,4.76,E-commerce,Farmer,Kharif
P007,Cotton Seeds,Fibers,Cotton,East,31-10-2024,118,256.69,24710.11,18.42,Retail,Retailer,Kharif
P001,Hybrid Maize Seeds,Cereals,Maize,West,04-10-2024,310,73.6,18684.02,18.11,Retail,Farmer,Kharif
P003,Groundnut Seeds,Oilseeds,Groundnut,North,13-12-2024,134,357.56,44568.71,6.98,Direct Sales,Retailer,Kharif
P003,Groundnut Seeds,Oilseeds,Groundnut,South,07-09-2024,57,295.26,13679.28,18.72,Retail,Retailer,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,West,15-09-2024,203,437.37,88368.82,0.47,Retail,Farmer,Rabi
P007,Cotton Seeds,Fibers,Cotton,Central,18-12-2024,270,172.55,43476.39,6.68,Wholesale,Farmer,Zaid
P007,Cotton Seeds,Fibers,Cotton,West,19-11-2024,148,430.37,55153.29,13.41,E-commerce,Distributor,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,West,30-11-2024,456,431.47,194861.52,0.96,Wholesale,Farmer,Kharif
P007,Cotton Seeds,Fibers,Cotton,North,19-09-2024,62,262.3,14073.65,13.46,E-commerce,Distributor,Rabi
P009,Chilli Seeds,Spices,Chilli,North,18-11-2024,288,383.11,105701.58,4.2,E-commerce,Retailer,Rabi
P006,Brinjal Seeds,Vegetables,Brinjal,West,23-09-2024,158,132.85,18565.92,11.55,Wholesale,Distributor,Kharif
P009,Chilli Seeds,Spices,Chilli,Central,24-11-2024,253,110.12,24433.54,12.3,Direct Sales,Retailer,Zaid
P007,Cotton Seeds,Fibers,Cotton,North,24-10-2024,372,149.95,51720.51,7.28,E-commerce,Farmer,Rabi
P008,Soybean Seeds,Pulses,Soybean,North,11-10-2024,119,299.74,29419.84,17.52,E-commerce,Retailer,Rabi
P006,Brinjal Seeds,Vegetables,Brinjal,Central,27-09-2024,126,478.23,58382.99,3.11,Direct Sales,Farmer,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,Central,22-12-2024,26,320.18,6963.59,16.35,Wholesale,Retailer,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,North,12-12-2024,349,340.74,100390.8,15.58,E-commerce,Retailer,Rabi
P005,Tomato Seeds,Vegetables,Tomato,South,08-10-2024,150,485.94,58363.82,19.93,E-commerce,Farmer,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,East,18-10-2024,201,113.61,21990.69,3.7,Direct Sales,Retailer,Kharif
P010,Wheat Seeds,Cereals,Wheat,East,07-10-2024,404,156.21,51673.52,18.12,Wholesale,Retailer,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,West,08-09-2024,361,412.94,140052.52,6.05,Wholesale,Distributor,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,South,13-11-2024,116,323.71,36611.6,2.5,Direct Sales,Farmer,Kharif
P010,Wheat Seeds,Cereals,Wheat,North,21-12-2024,313,164,48796.2,4.94,Direct Sales,Farmer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,North,26-11-2024,267,393.76,94673.09,9.95,Direct Sales,Distributor,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,East,04-09-2024,377,168.36,58933.49,7.15,Direct Sales,Farmer,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,East,30-12-2024,271,352.1,81812.34,14.26,E-commerce,Farmer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,South,25-10-2024,480,279.42,121903.12,9.11,Direct Sales,Distributor,Kharif
P004,Sunflower Seeds,Oilseeds,Sunflower,Central,26-09-2024,494,96.11,39088.92,17.67,Wholesale,Distributor,Rabi
P006,Brinjal Seeds,Vegetables,Brinjal,Central,20-10-2024,460,318.11,136438.65,6.76,Retail,Distributor,Zaid
P008,Soybean Seeds,Pulses,Soybean,East,12-12-2024,301,450.9,110395.38,18.66,E-commerce,Farmer,Zaid
P001,Hybrid Maize Seeds,Cereals,Maize,Central,16-10-2024,59,386.06,18235.7,19.94,Retail,Distributor,Kharif
P010,Wheat Seeds,Cereals,Wheat,Central,02-12-2024,156,101.71,15430.42,2.75,Direct Sales,Distributor,Rabi
P007,Cotton Seeds,Fibers,Cotton,West,29-12-2024,193,132.91,25059.08,2.31,E-commerce,Farmer,Rabi
P006,Brinjal Seeds,Vegetables,Brinjal,West,31-10-2024,307,200.77,56680.82,8.04,Direct Sales,Distributor,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,Central,05-10-2024,326,491.99,138367.37,13.73,Retail,Retailer,Rabi
P010,Wheat Seeds,Cereals,Wheat,North,25-10-2024,410,235.07,84379.55,12.45,Retail,Retailer,Kharif
P004,Sunflower Seeds,Oilseeds,Sunflower,Central,11-10-2024,291,355.73,86882.18,16.07,Direct Sales,Retailer,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,South,05-12-2024,481,119.88,51307.9,11.02,Retail,Distributor,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,North,08-12-2024,345,268.82,91305.39,1.55,Wholesale,Retailer,Kharif
P003,Groundnut Seeds,Oilseeds,Groundnut,Central,07-11-2024,172,161.61,22298.69,19.78,Direct Sales,Farmer,Rabi
P004,Sunflower Seeds,Oilseeds,Sunflower,North,26-11-2024,320,451.23,141606.8,1.93,Retail,Distributor,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,Central,26-12-2024,143,195.02,27745.63,0.51,Wholesale,Distributor,Zaid
P010,Wheat Seeds,Cereals,Wheat,South,03-10-2024,433,193.71,72561.5,13.49,E-commerce,Distributor,Kharif
P009,Chilli Seeds,Spices,Chilli,East,03-09-2024,234,203.71,42529.51,10.78,Wholesale,Farmer,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,North,22-12-2024,398,172.8,59806.22,13.04,Retail,Retailer,Rabi
P007,Cotton Seeds,Fibers,Cotton,East,19-12-2024,71,364.77,25189.05,2.74,Direct Sales,Distributor,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,South,28-12-2024,193,127.93,21772.07,11.82,E-commerce,Retailer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,North,17-10-2024,214,181.73,33527.26,13.79,Direct Sales,Retailer,Rabi
P004,Sunflower Seeds,Oilseeds,Sunflower,East,29-12-2024,431,55.42,23389.19,2.08,Direct Sales,Farmer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,South,28-11-2024,177,391.54,63668.28,8.13,Retail,Distributor,Rabi
P007,Cotton Seeds,Fibers,Cotton,South,12-09-2024,176,198.71,28982.09,17.13,Wholesale,Farmer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,South,08-12-2024,490,457.52,197596.48,11.86,E-commerce,Retailer,Zaid
P005,Tomato Seeds,Vegetables,Tomato,East,05-09-2024,166,401.63,66230.55,0.66,E-commerce,Farmer,Rabi
P010,Wheat Seeds,Cereals,Wheat,West,12-09-2024,429,215.72,89073.48,3.75,Wholesale,Farmer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,North,01-10-2024,309,339.17,100087.37,4.5,Direct Sales,Distributor,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,South,15-12-2024,60,347.51,17433.19,16.39,Direct Sales,Retailer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,North,05-09-2024,259,455.65,117741.92,0.23,Wholesale,Distributor,Rabi
P007,Cotton Seeds,Fibers,Cotton,West,03-12-2024,290,356.32,90478.2,12.44,Retail,Distributor,Kharif
P005,Tomato Seeds,Vegetables,Tomato,East,16-11-2024,335,130.31,40650.47,6.88,Retail,Farmer,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,East,14-09-2024,394,209.79,70655.43,14.52,Retail,Retailer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,North,31-12-2024,352,113.76,34885.91,12.88,Retail,Retailer,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,South,27-10-2024,173,91.37,15669.49,0.87,Direct Sales,Farmer,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,East,01-11-2024,248,58.06,11807.08,18,Direct Sales,Retailer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,South,22-12-2024,129,365.59,42878.88,9.08,Wholesale,Farmer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,Central,22-11-2024,350,87.22,30127.1,1.31,Retail,Retailer,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,East,20-12-2024,13,271.55,3016.51,14.55,Retail,Farmer,Zaid
P010,Wheat Seeds,Cereals,Wheat,North,14-11-2024,303,353.08,86078.71,19.54,E-commerce,Retailer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,East,02-09-2024,366,460.61,153781.65,8.78,Retail,Retailer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,North,21-09-2024,447,196.4,82356.55,6.19,E-commerce,Retailer,Zaid
P009,Chilli Seeds,Spices,Chilli,West,02-09-2024,374,368.91,120656.81,12.55,Retail,Farmer,Kharif
P005,Tomato Seeds,Vegetables,Tomato,North,18-12-2024,39,410.6,13864.4,13.42,Wholesale,Farmer,Kharif
P010,Wheat Seeds,Cereals,Wheat,North,25-12-2024,498,144.44,69125.81,3.9,Retail,Retailer,Rabi
P009,Chilli Seeds,Spices,Chilli,West,06-11-2024,73,255.32,16245.19,12.84,Direct Sales,Distributor,Kharif
P005,Tomato Seeds,Vegetables,Tomato,East,13-12-2024,185,119.47,19480.66,11.86,Direct Sales,Retailer,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,East,26-11-2024,421,450.86,164130.49,13.53,Wholesale,Distributor,Rabi
P007,Cotton Seeds,Fibers,Cotton,South,12-12-2024,372,358.43,126469.16,5.15,E-commerce,Farmer,Zaid
P010,Wheat Seeds,Cereals,Wheat,North,25-12-2024,193,447.09,73681.64,14.61,E-commerce,Farmer,Rabi
P004,Sunflower Seeds,Oilseeds,Sunflower,Central,19-09-2024,416,483.71,167478.2,16.77,Wholesale,Distributor,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,Central,27-12-2024,256,68.44,15320.05,12.56,Direct Sales,Distributor,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,North,01-10-2024,415,150.02,49956.06,19.76,Retail,Retailer,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,North,14-11-2024,334,226.33,61359.83,18.83,E-commerce,Farmer,Kharif
P005,Tomato Seeds,Vegetables,Tomato,South,11-12-2024,215,401.57,86242.58,0.11,E-commerce,Farmer,Zaid
P009,Chilli Seeds,Spices,Chilli,East,15-10-2024,240,431.97,91263.17,11.97,Direct Sales,Retailer,Rabi
P004,Sunflower Seeds,Oilseeds,Sunflower,Central,30-11-2024,311,204.76,57312.32,10,Retail,Distributor,Zaid
P007,Cotton Seeds,Fibers,Cotton,Central,20-09-2024,242,298,57764.92,19.9,Retail,Retailer,Rabi
P010,Wheat Seeds,Cereals,Wheat,North,03-09-2024,139,54.2,7145.81,5.15,Direct Sales,Farmer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,East,16-09-2024,453,299.11,129182.68,4.66,E-commerce,Retailer,Zaid
P005,Tomato Seeds,Vegetables,Tomato,East,08-09-2024,290,300.22,75353.72,13.45,E-commerce,Farmer,Rabi
P007,Cotton Seeds,Fibers,Cotton,South,07-10-2024,107,474.34,43354.39,14.58,Retail,Distributor,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,Central,29-12-2024,480,351.68,157344.45,6.79,Wholesale,Farmer,Kharif
P008,Soybean Seeds,Pulses,Soybean,North,01-10-2024,247,158.37,35100.03,10.27,E-commerce,Distributor,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,West,06-12-2024,85,297.98,24664.7,2.62,Retail,Distributor,Zaid
P008,Soybean Seeds,Pulses,Soybean,West,21-09-2024,27,93.9,2241.46,11.59,Direct Sales,Farmer,Rabi
P009,Chilli Seeds,Spices,Chilli,West,06-11-2024,390,109.02,38346.8,9.81,Retail,Retailer,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,West,25-12-2024,10,63.77,615.13,3.54,E-commerce,Distributor,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,North,20-12-2024,460,235.45,99512.47,8.12,E-commerce,Retailer,Zaid
P005,Tomato Seeds,Vegetables,Tomato,East,28-09-2024,44,230.96,9937.65,2.21,E-commerce,Farmer,Rabi
P009,Chilli Seeds,Spices,Chilli,North,10-11-2024,476,70.58,28882.55,14.03,E-commerce,Retailer,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,Central,11-09-2024,38,111.35,3419.74,19.18,E-commerce,Distributor,Rabi
P008,Soybean Seeds,Pulses,Soybean,West,21-12-2024,450,146.53,59291.9,10.08,Retail,Retailer,Kharif
P001,Hybrid Maize Seeds,Cereals,Maize,Central,08-10-2024,93,368.51,33531.17,2.16,Wholesale,Distributor,Kharif
P009,Chilli Seeds,Spices,Chilli,North,10-09-2024,451,281.44,121192.23,4.52,Retail,Retailer,Kharif
P008,Soybean Seeds,Pulses,Soybean,West,22-10-2024,283,324.9,82862.37,9.88,Direct Sales,Retailer,Rabi
P007,Cotton Seeds,Fibers,Cotton,South,14-12-2024,374,207.04,74815.73,3.38,Wholesale,Farmer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,Central,09-09-2024,291,173.42,46322.03,8.21,Wholesale,Retailer,Kharif
P004,Sunflower Seeds,Oilseeds,Sunflower,Central,31-10-2024,417,473.54,193753.82,1.88,Direct Sales,Retailer,Rabi
P007,Cotton Seeds,Fibers,Cotton,West,20-12-2024,472,297.91,125061.66,11.06,Wholesale,Distributor,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,Central,12-11-2024,428,321.77,129674.85,5.84,E-commerce,Retailer,Kharif
P004,Sunflower Seeds,Oilseeds,Sunflower,West,03-11-2024,460,392.23,149302.35,17.25,Direct Sales,Distributor,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,South,11-12-2024,242,327.31,72634.67,8.3,Retail,Distributor,Kharif
P008,Soybean Seeds,Pulses,Soybean,Central,16-10-2024,49,474.21,19467.36,16.22,Retail,Distributor,Rabi
P002,Basmati Rice Seeds,Cereals,Rice,West,06-10-2024,359,386.36,128147.92,7.61,Direct Sales,Farmer,Zaid
P010,Wheat Seeds,Cereals,Wheat,West,17-10-2024,265,469.45,101949.28,18.05,Wholesale,Farmer,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,South,25-11-2024,357,289.18,85480.45,17.2,Wholesale,Distributor,Kharif
P003,Groundnut Seeds,Oilseeds,Groundnut,Central,20-09-2024,118,377.7,44038.23,1.19,Retail,Farmer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,South,10-09-2024,71,493.8,34277.97,2.23,Wholesale,Retailer,Zaid
P002,Basmati Rice Seeds,Cereals,Rice,North,10-10-2024,249,171.65,35564.66,16.79,E-commerce,Farmer,Rabi
P005,Tomato Seeds,Vegetables,Tomato,West,24-11-2024,318,481.91,147531.25,3.73,Retail,Retailer,Zaid
P003,Groundnut Seeds,Oilseeds,Groundnut,Central,12-12-2024,64,305.78,17812.54,8.98,Retail,Farmer,Zaid
P006,Brinjal Seeds,Vegetables,Brinjal,South,06-10-2024,184,160.96,25162.3,15.04,Wholesale,Retailer,Rabi
P009,Chilli Seeds,Spices,Chilli,East,14-11-2024,158,412.03,58740.4,9.77,E-commerce,Farmer,Zaid
P009,Chilli Seeds,Spices,Chilli,Central,08-12-2024,109,54.28,5138.5,13.15,Retail,Distributor,Kharif
P005,Tomato Seeds,Vegetables,Tomato,East,09-11-2024,454,423.22,154655,19.51,Retail,Farmer,Rabi
P008,Soybean Seeds,Pulses,Soybean,South,28-10-2024,142,482.23,55815.33,18.49,E-commerce,Retailer,Rabi
